campaign_id,title,description,creator_id,creator_email,email_domain,goal,amount_raised,created_at,updates_count,donations_count,refunds_count,images_count,videos_count,payout_country,country,user_account_age_days,user_total_campaigns,payment_sources_count,is_fraud
C000001,Sustainable Water Purification Device,A tech innovation project focused on sustainable water purification device aiming to improve real-world performance.,U005171,user14539@gmail.com,gmail.com,33940,7640,2025-04-23T10:34:38Z,2,21,1,1,0,US,CA,370,2,3,0
C000002,Open-Source Robotics Platform,A tech innovation project focused on open-source robotics platform aiming to improve real-world performance.,U002404,user5901@hotmail.com,hotmail.com,43189,22165,2024-11-23T10:34:38Z,0,53,0,2,1,UK,UK,1764,1,1,0
C000003,Blockchain Supply-Chain Tracker,A tech innovation project focused on blockchain supply-chain tracker aiming to improve real-world performance.,U005077,user15060@yahoo.com,yahoo.com,12339,0,2024-07-20T10:34:38Z,2,1,0,4,1,CA,US,2388,1,3,0
C000004,Smart Home Energy Optimizer,A tech innovation project focused on smart home energy optimizer aiming to improve real-world performance.,U002357,user9803@hotmail.com,hotmail.com,26996,0,2025-07-03T10:34:38Z,0,42,1,3,0,JP,CA,302,0,1,0
C000005,Urban Vertical Farming Automation,A tech innovation project focused on urban vertical farming automation aiming to improve real-world performance.,U003152,user9675@yahoo.com,yahoo.com,39805,1204,2025-08-24T10:34:38Z,2,20,1,3,0,US,JP,971,0,1,0
C000006,IoT Smart Farming Automation Kit,A tech innovation project focused on iot smart farming automation kit aiming to improve real-world performance.,U005619,user19893@outlook.com,outlook.com,40871,0,2024-03-31T10:34:38Z,2,2,0,0,0,SG,DE,2034,1,0,0
C000007,Wearable Health Analytics Patch,A tech innovation project focused on wearable health analytics patch aiming to improve real-world performance. guaranteed profit,U005553,user29671@mailinator.com,mailinator.com,2000,7,2024-03-08T10:34:38Z,1,30,6,0,0,US,SG,397,0,1,1
C000008,AI-Driven EdTech Learning Assistant,A tech innovation project focused on ai-driven edtech learning assistant aiming to improve real-world performance.,U001439,user8931@hotmail.com,hotmail.com,8679,4012,2025-07-29T10:34:38Z,3,7,1,1,0,UK,CA,2209,1,0,0
C000009,Sustainable Water Purification Device,A tech innovation project focused on sustainable water purification device aiming to improve real-world performance.,U007925,user4613@gmail.com,gmail.com,13932,4317,2023-11-08T10:34:38Z,1,13,1,4,0,DE,JP,1387,1,2,0
C000010,Next-Gen EV Battery Health Monitor,A tech innovation project focused on next-gen ev battery health monitor aiming to improve real-world performance. urgent funding,U002997,user8591@yahoo.com,yahoo.com,42301,4419,2024-11-02T10:34:38Z,5,30,12,2,0,JP,SG,57,2,2,1
C000011,Smart Home Energy Optimizer,A tech innovation project focused on smart home energy optimizer aiming to improve real-world performance.,U005076,user9903@protonmail.com,protonmail.com,18523,1729,2025-01-10T10:34:38Z,3,2,0,2,1,JP,IN,2498,2,1,0
C000012,Urban Vertical Farming Automation,A tech innovation project focused on urban vertical farming automation aiming to improve real-world performance.,U002494,user14865@protonmail.com,protonmail.com,24666,0,2025-08-15T10:34:38Z,1,17,1,4,1,SG,AU,398,3,1,0
C000013,Privacy-preserving ML Toolkit,A tech innovation project focused on privacy-preserving ml toolkit aiming to improve real-world performance.,U001266,user1073@yahoo.com,yahoo.com,17213,10991,2024-02-10T10:34:38Z,0,45,1,5,0,SG,DE,405,3,1,0
C000014,Open-Source Robotics Platform,A tech innovation project focused on open-source robotics platform aiming to improve real-world performance.,U007008,user1985@yahoo.com,yahoo.com,16118,6707,2025-09-01T10:34:38Z,1,57,0,2,0,JP,CA,2808,2,3,0
C000015,Affordable Prosthetic Robotics,A tech innovation project focused on affordable prosthetic robotics aiming to improve real-world performance.,U006948,user1658@gmail.com,gmail.com,40724,13318,2025-09-09T10:34:38Z,3,46,2,1,1,SG,DE,2714,2,3,0
C000016,Next-Gen EV Battery Health Monitor,A tech innovation project focused on next-gen ev battery health monitor aiming to improve real-world performance.,U001682,user10767@outlook.com,outlook.com,26130,8891,2023-10-20T10:34:38Z,2,35,6,5,1,UK,US,2270,0,1,0
C000017,Smart Home Energy Optimizer,A tech innovation project focused on smart home energy optimizer aiming to improve real-world performance.,U001065,user487@outlook.com,outlook.com,33490,9426,2025-03-30T10:34:38Z,2,15,1,4,1,SG,DE,714,1,2,0
C000018,Wearable Health Analytics Patch,A tech innovation project focused on wearable health analytics patch aiming to improve real-world performance.,U000430,user14690@protonmail.com,protonmail.com,7721,3465,2023-11-13T10:34:38Z,3,22,2,4,0,SG,AU,1724,3,2,0
C000019,Mixed Reality Collaboration Tool,A tech innovation project focused on mixed reality collaboration tool aiming to improve real-world performance. guaranteed profit,U001815,user9884@hotmail.com,hotmail.com,26067,1492,2025-10-28T10:34:38Z,4,34,18,4,0,ZA,US,2978,2,2,1
C000020,Low-Power Microcontroller Board v2,A tech innovation project focused on low-power microcontroller board v2 aiming to improve real-world performance.,U003493,user10555@gmail.com,gmail.com,10356,3772,2024-07-27T10:34:38Z,1,12,0,1,0,UK,IN,2917,3,1,0
C000021,Smart Home Energy Optimizer,A tech innovation project focused on smart home energy optimizer aiming to improve real-world performance.,U004796,user14868@yahoo.com,yahoo.com,34270,11736,2023-12-13T10:34:38Z,5,38,2,1,0,AU,JP,1331,2,1,0
C000022,Smart Home Energy Optimizer,A tech innovation project focused on smart home energy optimizer aiming to improve real-world performance.,U006987,user11107@protonmail.com,protonmail.com,36725,6452,2023-12-04T10:34:38Z,0,29,1,4,0,ZA,JP,880,2,2,0
C000023,Portable Edge AI Inference Module,A tech innovation project focused on portable edge ai inference module aiming to improve real-world performance.,U003497,user2200@protonmail.com,protonmail.com,68002,39564,2024-01-30T10:34:38Z,4,1,0,1,0,IN,IN,1044,0,3,0
C000024,Open-Source Robotics Platform,A tech innovation project focused on open-source robotics platform aiming to improve real-world performance.,U006053,user10802@hotmail.com,hotmail.com,40343,13752,2025-07-31T10:34:38Z,1,36,0,1,1,IN,JP,2278,1,1,0
C000025,Privacy-preserving ML Toolkit,A tech innovation project focused on privacy-preserving ml toolkit aiming to improve real-world performance.,U006147,user3395@yahoo.com,yahoo.com,28309,10021,2023-12-04T10:34:38Z,3,17,0,5,0,AU,DE,210,0,1,0
C000026,Low-Power Microcontroller Board v2,A tech innovation project focused on low-power microcontroller board v2 aiming to improve real-world performance.,U006941,user7411@hotmail.com,hotmail.com,14328,4726,2024-12-18T10:34:38Z,1,34,2,5,0,JP,AU,2278,1,3,0
