campaign_id,title,description,creator_id,creator_email,email_domain,goal,amount_raised,created_at,updates_count,donations_count,refunds_count,images_count,videos_count,payout_country,country,user_account_age_days,user_total_campaigns,payment_sources_count
C0,Low-Power Microcontroller,A tech innovation project about low-power microcontroller.,U1430,user5385@protonmail.com,protonmail.com,27111,5190,2025-02-25T10:15:11Z,1,80,18,3,1,US,UK,1714,9,2
C1,Sustainable Water Purifier,A tech innovation project about sustainable water purifier.,U1837,user338@outlook.com,outlook.com,12602,3792,2025-01-23T10:15:11Z,7,80,19,1,1,DE,CA,1887,2,2
C2,AI EdTech Assistant,A tech innovation project about ai edtech assistant. act now,U1488,user2588@yahoo.com,yahoo.com,68541,4903,2025-01-09T10:15:11Z,4,91,9,3,1,DE,DE,1762,5,3
C3,Sustainable Water Purifier,A tech innovation project about sustainable water purifier.,U2938,user7445@gmail.com,gmail.com,72796,19548,2025-02-18T10:15:11Z,7,132,21,5,0,DE,US,1572,5,3
C4,EV Battery Monitor,A tech innovation project about ev battery monitor.,U2969,user8826@protonmail.com,protonmail.com,5743,1473,2024-12-13T10:15:11Z,0,52,16,1,0,US,JP,64,11,1
C5,Blockchain Supply Tracker,A tech innovation project about blockchain supply tracker.,U1601,user1913@gmail.com,gmail.com,45133,10683,2025-07-12T10:15:11Z,4,131,16,2,1,UK,US,1462,10,3
C6,EV Battery Monitor,A tech innovation project about ev battery monitor.,U2401,user475@protonmail.com,protonmail.com,84552,36735,2025-03-13T10:15:11Z,7,9,17,2,1,DE,UK,688,5,3
C7,Blockchain Supply Tracker,A tech innovation project about blockchain supply tracker.,U747,user4657@yahoo.com,yahoo.com,29093,12293,2025-11-08T10:15:11Z,6,112,10,0,0,SG,UK,47,3,1
C8,EV Battery Monitor,A tech innovation project about ev battery monitor.,U204,user8650@yahoo.com,yahoo.com,63277,24799,2025-01-18T10:15:11Z,6,133,29,1,0,DE,JP,190,1,1
C9,AI Drone Navigation System,A tech innovation project about ai drone navigation system.,U309,user1808@outlook.com,outlook.com,29646,9880,2025-10-29T10:15:11Z,2,61,24,0,1,IN,JP,1522,10,3
C10,IoT Smart Farming Kit,A tech innovation project about iot smart farming kit.,U1409,user4249@yahoo.com,yahoo.com,15014,5208,2025-04-20T10:15:11Z,4,17,5,2,1,UK,IN,758,2,2
C11,Sustainable Water Purifier,A tech innovation project about sustainable water purifier.,U1461,user9274@gmail.com,gmail.com,16776,2162,2025-08-11T10:15:11Z,6,95,19,4,1,CA,CA,1629,4,1
C12,Low-Power Microcontroller,A tech innovation project about low-power microcontroller.,U2839,user8031@yahoo.com,yahoo.com,15276,4964,2025-09-25T10:15:11Z,2,124,0,2,0,UK,IN,575,0,2
C13,EV Battery Monitor,A tech innovation project about ev battery monitor. wire transfer,U1140,user3986@gmail.com,gmail.com,9548,1470,2025-05-28T10:15:11Z,0,82,26,5,1,SG,IN,1586,3,2
C14,AR Training Simulator,A tech innovation project about ar training simulator.,U2694,user9308@yahoo.com,yahoo.com,75058,9670,2025-11-03T10:15:11Z,5,84,3,3,1,UK,JP,715,8,2
C15,AR Training Simulator,A tech innovation project about ar training simulator.,U1916,user9045@tempmail.com,tempmail.com,54032,4238,2025-05-28T10:15:11Z,5,37,23,5,1,CA,SG,1293,10,1
C16,AI EdTech Assistant,A tech innovation project about ai edtech assistant.,U973,user2127@gmail.com,gmail.com,17179,2456,2025-02-26T10:15:11Z,3,11,15,5,0,DE,IN,1693,8,2
C17,EV Battery Monitor,A tech innovation project about ev battery monitor.,U602,user626@protonmail.com,protonmail.com,15541,6954,2025-03-22T10:15:11Z,4,116,26,0,0,US,US,1581,4,2
C18,AI EdTech Assistant,A tech innovation project about ai edtech assistant.,U785,user665@yahoo.com,yahoo.com,51640,9572,2025-10-31T10:15:11Z,5,91,1,0,0,CA,CA,1127,5,2
C19,AR Training Simulator,A tech innovation project about ar training simulator.,U1331,user9357@outlook.com,outlook.com,66642,9886,2025-12-09T10:15:11Z,8,11,28,1,0,US,CA,703,2,3
C20,EV Battery Monitor,A tech innovation project about ev battery monitor.,U743,user9923@10minutemail.com,10minutemail.com,61837,3499,2025-08-26T10:15:11Z,3,123,24,0,0,IN,UK,1672,2,1
C21,Sustainable Water Purifier,A tech innovation project about sustainable water purifier.,U2875,user1189@gmail.com,gmail.com,5802,3125,2025-09-08T10:15:11Z,5,10,20,4,1,JP,JP,466,10,2
C22,Sustainable Water Purifier,A tech innovation project about sustainable water purifier.,U2218,user6910@tempmail.com,tempmail.com,46555,6041,2025-09-19T10:15:11Z,1,137,9,3,0,IN,US,1322,11,1
C23,IoT Smart Farming Kit,A tech innovation project about iot smart farming kit.,U429,user8794@yahoo.com,yahoo.com,20979,2642,2025-04-01T10:15:11Z,4,137,17,4,0,UK,CA,546,1,2
C24,AI Drone Navigation System,A tech innovation project about ai drone navigation system.,U950,user9899@gmail.com,gmail.com,62562,19508,2025-08-09T10:15:11Z,8,36,0,4,0,IN,SG,813,9,2
C25,AI EdTech Assistant,A tech innovation project about ai edtech assistant.,U1169,user76@yahoo.com,yahoo.com,75307,6430,2025-11-24T10:15:11Z,8,42,27,0,0,SG,DE,809,12,2
C26,AI Drone Navigation System,A tech innovation project about ai drone navigation system.,U576,user81@protonmail.com,protonmail.com,50519,17603,2025-03-10T10:15:11Z,3,100,4,5,1,US,UK,149,10,1
C27,Low-Power Microcontroller,A tech innovation project about low-power microcontroller.,U423,user4524@yahoo.com,yahoo.com,61190,13107,2025-08-01T10:15:11Z,5,41,21,5,0,SG,IN,918,7,1
C28,EV Battery Monitor,A tech innovation project about ev battery monitor.,U2632,user8876@protonmail.com,protonmail.com,54822,20798,2025-02-06T10:15:11Z,4,24,9,1,1,SG,US,1609,8,3
